gene	description	WT_6h_1	WT_6h_2	WT_6h_3	RELA_6h_1	RELA_6h_2	RELA_6h_3
Sfxn5	na	100	117	112	131	128	135
Sgca	na	0	0	0	1	0	0
Sgcb	na	317	307	286	288	303	248
Sgcd	na	0	0	0	0	0	0
Sgce	na	20	15	18	21	14	17
Sgcg	na	0	0	0	0	0	0
Sgcz	na	0	0	0	0	1	0
Sgip1	na	4	0	2	1	0	0
Sgk1	na	249	291	274	351	393	316
Sgk2	na	0	0	0	2	0	1
Sgk3	na	570	579	613	671	696	632
Sgms1	na	836	867	853	1003	1002	942
Sgms2	na	6	11	8	20	12	13
Sgol1	na	75	84	72	64	81	74
Sgol2	na	118	104	136	121	113	121
Sgpl1	na	8311	8879	8559	7401	7780	6679
Sgpp1	na	834	816	886	845	913	780
Sgpp2	na	20	17	21	26	24	20
Sgsh	na	334	352	319	373	387	314
Sgsm1	na	0	0	0	0	0	0
Sgsm2	na	315	335	259	270	332	256
Sgsm3	na	469	454	386	508	511	405
Sgta	na	2051	1961	1812	2061	2057	1842
Sgtb	na	8	4	6	4	2	3
Sh2b1	na	3291	3308	2822	3485	3743	3011
Sh2b2	na	292	272	224	325	312	293
Sh2b3	na	3200	3098	2665	3691	3670	3171
Sh2d1a	na	2	5	4	4	4	4
Sh2d1b1	na	27	13	14	13	10	16
Sh2d1b2	na	0	0	0	0	0	0
Sh2d2a	na	2460	2420	2240	2631	2648	2391
Sh2d3c	na	578	573	476	644	686	548
Sh2d4a	na	3	1	3	7	7	4
Sh2d4b	na	59	64	54	54	43	36
Sh2d5	na	361	336	315	376	380	310
Sh2d7	na	0	0	3	1	2	0
Sh3bgr	na	4	2	2	0	1	1
Sh3bgrl	na	2208	2393	2531	2393	2453	2344
Sh3bgrl2	na	55	25	35	27	25	24
Sh3bgrl3	na	5867	5710	4896	5423	5751	4881
Sh3bp1	na	260	333	244	301	319	248
Sh3bp2	na	2404	2371	2283	2669	2630	2273
Sh3bp4	na	27	32	41	29	35	33
Sh3bp5	na	5672	5842	5432	7418	7488	6525
Sh3bp5l	na	854	853	775	867	993	832
Sh3d19	na	41	42	32	31	38	35
Sh3gl1	na	1691	1745	1528	1834	1856	1564
Sh3gl2	na	0	0	0	0	0	0
Sh3gl3	na	0	1	0	0	0	0
Sh3glb1	na	2399	2511	2299	2466	2518	2269
Sh3glb2	na	709	712	616	702	713	633
Sh3kbp1	na	3529	3438	3213	3610	3854	3284
Sh3pxd2a	na	674	668	599	502	526	439
Sh3pxd2b	na	63	51	56	54	60	60
Sh3rf1	na	663	653	609	741	711	668
Sh3rf2	na	0	0	0	0	0	0
Sh3rf3	na	0	0	0	0	0	0
Sh3tc1	na	608	618	597	604	620	562
Sh3tc2	na	1	0	0	0	0	1
Sh3yl1	na	18	15	16	15	19	17
Shank1	na	2336	2395	1860	2676	2704	2348
Shank2	na	0	1	1	2	2	0
Shank3	na	1	0	1	0	0	0
Sharpin	na	1781	1833	1622	1974	1981	1748
Shb	na	37	41	41	32	45	50
Shbg	na	0	0	0	0	0	0
Shc1	na	1828	1835	1772	2220	2240	1953
Shc2	na	0	0	0	0	0	0
Shc3	na	0	0	1	0	0	0
Shc4	na	16	15	19	27	21	18
Shcbp1	na	45	47	58	64	38	34
Shd	na	2	2	3	0	5	2
She	na	2	0	1	1	0	1
Shf	na	77	69	69	75	90	68
Shfm1	na	2152	2128	2333	2205	2107	2098
Shh	na	0	0	0	0	0	0
Shisa2	na	0	0	1	1	0	1
Shisa3	na	0	2	0	0	3	2
Shisa4	na	4	2	0	4	2	2
Shisa5	na	18451	17762	17447	12582	12683	11179
Shisa6	na	0	0	0	0	0	0
Shisa7	na	3	4	3	1	2	3
Shisa9	na	0	0	0	0	0	0
Shkbp1	na	1347	1230	1170	1439	1376	1273
Shmt1	na	2342	2354	2185	2419	2470	2139
Shmt2	na	12911	13023	11766	14490	14782	12470
Shoc2	na	1291	1321	1364	1407	1441	1264
Shox2	na	0	0	0	0	0	1
Shpk	na	38	52	48	43	66	42
Shprh	na	2271	2451	2269	2571	2614	2201
Shq1	na	596	589	644	632	683	566
Shroom1	na	0	0	1	0	0	0
Shroom2	na	0	0	0	0	0	0
Shroom3	na	2	0	1	0	0	0
Shroom4	na	0	1	0	1	0	1
Siae	na	311	296	308	323	329	242
Siah1a	na	412	428	410	462	492	404
Siah1b	na	88	149	120	137	145	121
Siah2	na	845	835	837	983	1001	884
Siah3	na	0	0	0	0	0	0
Sidt1	na	308	258	267	269	252	228
Sidt2	na	5777	5900	5158	6233	6351	5307
Sigirr	na	673	756	661	765	734	649
Siglec1	na	2	2	3	0	1	2
Siglec15	na	1	3	3	0	2	3
Siglec5	na	5	7	3	2	3	6
Siglece	na	28	38	30	55	46	50
Siglecg	na	1592	1632	1440	1903	2049	1716
Siglech	na	23	21	30	27	30	24
Sigmar1	na	1735	1743	1595	2018	1896	1761
Sik1	na	866	844	751	811	841	672
Sik2	na	543	479	474	547	582	470
Sik3	na	2098	2113	1865	2101	2163	1897
Sike1	na	1001	1053	968	1119	1198	1073
Sil1	na	752	707	738	806	715	685
Sim1	na	0	0	0	0	1	0
Sim2	na	0	2	2	0	2	1
Sin3a	na	4673	4835	4465	5430	5400	4518
Sin3b	na	2933	2959	2984	3359	3288	2888
Sip1	na	461	484	457	494	520	435
Sipa1	na	3655	3765	3111	4513	4753	3938
Sipa1l1	na	918	972	860	1088	1138	966
Sipa1l2	na	597	656	497	639	653	537
Sipa1l3	na	1223	1321	1164	1360	1398	1195
Sirpa	na	185	226	199	284	307	283
